Zone,District,Fiscal Month Number,Year,Month,Diversion Rate-Total,Diversion Rate-Total LOG
Manhattan,MN11,7,2019,1,12.33,1.09
Manhattan,MN12,7,2019,1,18.24,1.26
Queens East,QE07,7,2019,1,22.26,1.35
Queens East,QE08,7,2019,1,18.50,1.27
Queens East,QE10,7,2019,1,21.45,1.33
Queens East,QE11,7,2019,1,27.94,1.45
Queens East,QE12,7,2019,1,15.50,1.19
Queens East,QE13,7,2019,1,23.48,1.37
Queens East,QE14,7,2019,1,14.36,1.16
Queens West,QW01,7,2019,1,21.94,1.34
Queens West,QW02,7,2019,1,23.77,1.38
Queens West,QW03,7,2019,1,16.13,1.21
Queens West,QW04,7,2019,1,16.44,1.22
Queens West,QW05,7,2019,1,26.13,1.42
Queens West,QW06,7,2019,1,23.09,1.36
Queens West,QW09,7,2019,1,24.62,1.39
Staten Island,SI01,7,2019,1,21.76,1.34
Staten Island,SI02,7,2019,1,22.64,1.35
Staten Island,SI03,7,2019,1,23.44,1.37
Brooklyn North,BKN01,1,2019,7,16.75,1.22
Brooklyn North,BKN02,1,2019,7,19.27,1.28
Brooklyn North,BKN03,1,2019,7,12.35,1.09
Brooklyn North,BKN04,1,2019,7,15.47,1.19
Brooklyn North,BKN05,1,2019,7,10.02,1.00
Brooklyn North,BKN08,1,2019,7,15.60,1.19
Brooklyn North,BKN09,1,2019,7,12.68,1.10
Brooklyn North,BKN16,1,2019,7,9.44,0.98
Brooklyn North,BKN17,1,2019,7,13.26,1.12
Brooklyn South,BKS06,1,2019,7,27.13,1.43
Brooklyn South,BKS07,1,2019,7,19.86,1.30
Brooklyn South,BKS10,1,2019,7,23.27,1.37
Brooklyn South,BKS11,1,2019,7,18.73,1.27
Brooklyn South,BKS12,1,2019,7,15.46,1.19
Brooklyn South,BKS13,1,2019,7,14.53,1.16
Brooklyn South,BKS14,1,2019,7,14.21,1.15
Brooklyn South,BKS15,1,2019,7,19.02,1.28
Brooklyn South,BKS18,1,2019,7,14.54,1.16
Bronx,BX01,1,2019,7,6.85,0.84
Bronx,BX02,1,2019,7,13.28,1.12
Bronx,BX03,1,2019,7,9.08,0.96
Bronx,BX04,1,2019,7,11.63,1.07
Bronx,BX05,1,2019,7,11.29,1.05
Bronx,BX06,1,2019,7,11.79,1.07
Bronx,BX07,1,2019,7,14.50,1.16
Bronx,BX08,1,2019,7,20.92,1.32
Bronx,BX09,1,2019,7,9.94,1.00
Bronx,BX10,1,2019,7,20.90,1.32
Bronx,BX11,1,2019,7,16.72,1.22
Bronx,BX12,1,2019,7,21.13,1.32
Manhattan,MN01,1,2019,7,26.08,1.42
Manhattan,MN02,1,2019,7,24.62,1.39
Manhattan,MN03,1,2019,7,13.37,1.13
Manhattan,MN04,1,2019,7,22.58,1.35
Manhattan,MN05,1,2019,7,19.99,1.30
Manhattan,MN06,1,2019,7,22.72,1.36
Manhattan,MN07,1,2019,7,26.22,1.42
Manhattan,MN08,1,2019,7,25.83,1.41
Manhattan,MN09,1,2019,7,16.74,1.22
Manhattan,MN10,1,2019,7,14.23,1.15
Manhattan,MN11,1,2019,7,10.93,1.04
Manhattan,MN12,1,2019,7,15.46,1.19
Queens East,QE07,1,2019,7,20.03,1.30
Queens East,QE08,1,2019,7,16.65,1.22
Queens East,QE10,1,2019,7,19.19,1.28
Queens East,QE11,1,2019,7,24.75,1.39
Queens East,QE12,1,2019,7,13.71,1.14
Queens East,QE13,1,2019,7,22.54,1.35
Queens East,QE14,1,2019,7,14.31,1.16
Queens West,QW01,1,2019,7,19.45,1.29
Queens West,QW02,1,2019,7,21.38,1.33
Queens West,QW03,1,2019,7,14.06,1.15
Queens West,QW04,1,2019,7,15.07,1.18
Queens West,QW05,1,2019,7,22.86,1.36
Queens West,QW06,1,2019,7,20.65,1.31
Queens West,QW09,1,2019,7,21.24,1.33
Staten Island,SI01,1,2019,7,19.75,1.30
Staten Island,SI02,1,2019,7,18.66,1.27
Staten Island,SI03,1,2019,7,19.81,1.30
Brooklyn North,BKN01,12,2019,6,16.09,1.21
Brooklyn North,BKN02,12,2019,6,20.47,1.31
Brooklyn North,BKN03,12,2019,6,12.63,1.10
Brooklyn North,BKN04,12,2019,6,16.37,1.21
Brooklyn North,BKN05,12,2019,6,10.97,1.04
Brooklyn North,BKN08,12,2019,6,17.24,1.24
Brooklyn North,BKN09,12,2019,6,13.77,1.14
Brooklyn North,BKN16,12,2019,6,9.90,1.00
