Zone,District,Fiscal Month Number,Year,Month,Diversion Rate-Total,Diversion Rate-Total LOG
Bronx,BX08,6,2019,12,21.38197934,1.330047906
Bronx,BX09,6,2019,12,10.60383676,1.025463033
Bronx,BX10,6,2019,12,22.22687576,1.346878422
Bronx,BX11,6,2019,12,17.39871194,1.240517098
Bronx,BX12,6,2019,12,20.98028452,1.321811373
Manhattan,MN01,6,2019,12,29.4698382,1.469377751
Manhattan,MN02,6,2019,12,28.52744961,1.455262947
Manhattan,MN03,6,2019,12,14.83693836,1.171344292
Manhattan,MN04,6,2019,12,24.75762745,1.393709023
Manhattan,MN05,6,2019,12,21.42826114,1.33098693
Manhattan,MN06,6,2019,12,25.23272159,1.401964096
Manhattan,MN07,6,2019,12,28.67977101,1.457575679
Manhattan,MN08,6,2019,12,28.40740485,1.453431561
Manhattan,MN09,6,2019,12,19.12744483,1.281656958
Manhattan,MN10,6,2019,12,14.77285998,1.169464582
Manhattan,MN11,6,2019,12,11.62193858,1.065278576
Manhattan,MN12,6,2019,12,16.85611376,1.226757454
Queens East,QE07,6,2019,12,21.56707937,1.333791337
Queens East,QE08,6,2019,12,17.89058308,1.252624495
Queens East,QE10,6,2019,12,20.44083384,1.310498608
Queens East,QE11,6,2019,12,26.06110218,1.415992779
Queens East,QE12,6,2019,12,17.03403654,1.231317575
Queens East,QE13,6,2019,12,22.40473404,1.350339793
Queens East,QE14,6,2019,12,14.50162907,1.161416792
Queens West,QW01,6,2019,12,21.05663408,1.32338895
Queens West,QW02,6,2019,12,21.72834819,1.337026712
Queens West,QW03,6,2019,12,15.52495338,1.191030305
Queens West,QW04,6,2019,12,16.07842603,1.206243532
Queens West,QW05,6,2019,12,24.66377581,1.392059564
Queens West,QW06,6,2019,12,23.47095137,1.370530694
Queens West,QW09,6,2019,12,23.78085206,1.376227411
Staten Island,SI01,6,2019,12,22.1710183,1.34578564
Staten Island,SI02,6,2019,12,20.6802077,1.315554896
Staten Island,SI03,6,2019,12,22.26657313,1.347653383
Brooklyn North,BKN01,8,2019,2,15.86631591,1.200476097
Brooklyn North,BKN02,8,2019,2,20.62731918,1.314442789
Brooklyn North,BKN03,8,2019,2,12.97459912,1.113093948
Brooklyn North,BKN04,8,2019,2,15.81547302,1.199082186
Brooklyn North,BKN05,8,2019,2,10.55561305,1.023483461
Brooklyn North,BKN08,8,2019,2,16.98412789,1.230043251
Brooklyn North,BKN09,8,2019,2,13.99801467,1.146066444
Brooklyn North,BKN16,8,2019,2,9.653507349,0.984685132
Brooklyn North,BKN17,8,2019,2,14.15456217,1.15089644
Brooklyn South,BKS06,8,2019,2,29.15717296,1.464745413
Brooklyn South,BKS07,8,2019,2,20.19454281,1.305234026
Brooklyn South,BKS10,8,2019,2,24.33057559,1.386152383
Brooklyn South,BKS11,8,2019,2,18.87729816,1.275939835
