Zone,District,Year,Month,Capture Rate-Paper ,Capture Rate-MGP,Capture Rate-Total
Staten Island,SI03,2019,12,48.67,72.77,56.38
Brooklyn North,BKN01,2019,2,48.30,48.17,48.25
Brooklyn North,BKN02,2019,2,33.10,60.23,40.80
Brooklyn North,BKN03,2019,2,35.60,45.64,39.71
Brooklyn North,BKN04,2019,2,37.63,67.92,50.04
Brooklyn North,BKN05,2019,2,24.59,46.09,33.40
Brooklyn North,BKN08,2019,2,47.01,60.56,52.56
Brooklyn North,BKN09,2019,2,31.81,45.06,36.64
Brooklyn North,BKN16,2019,2,21.51,38.31,28.39
Brooklyn North,BKN17,2019,2,27.52,60.77,39.62
Brooklyn South,BKS06,2019,2,44.17,85.54,55.92
Brooklyn South,BKS07,2019,2,41.60,70.51,52.12
Brooklyn South,BKS10,2019,2,48.28,77.53,58.92
Brooklyn South,BKS11,2019,2,42.24,62.90,49.76
Brooklyn South,BKS12,2019,2,48.77,44.98,47.22
Brooklyn South,BKS13,2019,2,40.39,49.05,44.28
Brooklyn South,BKS14,2019,2,32.19,56.58,39.82
Brooklyn South,BKS15,2019,2,44.47,61.85,50.80
Brooklyn South,BKS18,2019,2,29.84,63.20,40.50
Bronx,BX01,2019,2,19.17,25.75,22.13
Bronx,BX02,2019,2,34.00,51.91,42.06
Bronx,BX03,2019,2,23.66,35.32,28.90
Bronx,BX04,2019,2,28.16,48.40,37.27
Bronx,BX05,2019,2,25.29,46.61,34.88
Bronx,BX06,2019,2,36.26,49.53,42.23
Bronx,BX07,2019,2,32.94,61.15,45.64
Bronx,BX08,2019,2,35.99,81.55,50.24
Bronx,BX09,2019,2,22.27,44.26,31.28
Bronx,BX10,2019,2,37.09,82.15,53.49
Bronx,BX11,2019,2,32.79,56.95,41.58
Bronx,BX12,2019,2,31.00,75.21,47.09
Manhattan,MN01,2019,2,44.94,69.19,51.18
Manhattan,MN02,2019,2,39.64,82.44,50.65
Manhattan,MN03,2019,2,41.58,43.39,42.39
Manhattan,MN04,2019,2,33.81,73.76,44.09
Manhattan,MN05,2019,2,33.97,63.23,41.50
Manhattan,MN06,2019,2,34.46,71.97,44.11
Manhattan,MN07,2019,2,41.12,77.54,50.49
Manhattan,MN08,2019,2,41.28,77.57,50.62
Manhattan,MN09,2019,2,54.80,49.94,52.61
Manhattan,MN10,2019,2,38.78,54.63,45.91
Manhattan,MN11,2019,2,38.33,31.55,35.28
Manhattan,MN12,2019,2,43.46,58.32,50.15
Queens East,QE07,2019,2,45.72,66.71,53.36
Queens East,QE08,2019,2,28.76,54.05,35.94
Queens East,QE10,2019,2,33.03,81.41,48.49
Queens East,QE11,2019,2,48.67,83.64,
Queens East,QE12,2019,2,31.84,69.33,47.54
Queens East,QE13,2019,2,30.57,89.23,49.32
Queens East,QE14,2019,2,30.12,40.55,33.92
Queens West,QW01,2019,2,46.09,74.57,56.46
Queens West,QW02,2019,2,46.64,,56.07
Queens West,QW03,2019,2,29.59,62.34,41.52
Queens West,QW04,2019,2,31.73,62.24,42.84
Queens West,QW05,2019,2,45.12,85.78,59.92
Queens West,QW06,2019,2,29.78,71.45,40.50
Queens West,QW09,2019,2,39.27,75.78,52.56
Staten Island,SI01,2019,2,36.12,76.12,48.90
Staten Island,SI02,2019,2,40.68,73.69,51.23
Staten Island,SI03,2019,2,43.01,81.06,55.17
Brooklyn North,BKN01,2019,1,49.88,51.95,50.73
Brooklyn North,BKN02,2019,1,33.99,63.78,42.45
Brooklyn North,BKN03,2019,1,38.56,49.19,42.91
Brooklyn North,BKN04,2019,1,38.88,73.78,53.18
Brooklyn North,BKN05,2019,1,26.96,50.66,36.67
Brooklyn North,BKN08,2019,1,51.55,66.94,57.86
Brooklyn North,BKN09,2019,1,32.72,46.94,37.89
Brooklyn North,BKN16,2019,1,22.70,38.04,28.98
Brooklyn North,BKN17,2019,1,29.72,67.77,43.57
Brooklyn South,BKS06,2019,1,45.99,86.09,57.38
Brooklyn South,BKS07,2019,1,46.54,74.81,56.83
Brooklyn South,BKS10,2019,1,53.15,80.93,63.26
Brooklyn South,BKS11,2019,1,47.18,68.33,54.88
Brooklyn South,BKS12,2019,1,49.77,47.53,48.85
Brooklyn South,BKS13,2019,1,44.87,52.35,48.24
Brooklyn South,BKS14,2019,1,34.58,58.81,42.16
Brooklyn South,BKS15,2019,1,46.66,66.35,53.82
Brooklyn South,BKS18,2019,1,32.13,68.32,43.70
Bronx,BX01,2019,1,24.16,29.82,26.71
Bronx,BX02,2019,1,32.46,55.46,42.81
Bronx,BX03,2019,1,28.67,40.29,33.90
Bronx,BX04,2019,1,32.81,54.07,42.38
Bronx,BX05,2019,1,29.10,51.66,39.25
Bronx,BX06,2019,1,40.92,54.27,46.93
Bronx,BX07,2019,1,37.81,68.07,51.43
Bronx,BX08,2019,1,41.91,89.11,56.67
Bronx,BX09,2019,1,23.96,47.85,33.75
Bronx,BX10,2019,1,39.63,87.44,57.04
Bronx,BX11,2019,1,34.72,60.17,43.99
Bronx,BX12,2019,1,34.27,81.71,51.54
Manhattan,MN01,2019,1,45.64,70.34,51.99
Manhattan,MN02,2019,1,41.98,85.84,53.27
Manhattan,MN03,2019,1,42.93,42.75,42.85
Manhattan,MN04,2019,1,34.24,72.82,44.17
Manhattan,MN05,2019,1,36.33,68.16,44.52
Manhattan,MN06,2019,1,34.51,72.03,44.17
Manhattan,MN07,2019,1,41.33,80.86,51.50
Manhattan,MN08,2019,1,41.10,78.43,50.71
Manhattan,MN09,2019,1,55.97,50.76,53.62
Manhattan,MN10,2019,1,42.65,56.69,48.97
Manhattan,MN11,2019,1,39.99,33.23,36.95
Manhattan,MN12,2019,1,47.27,62.79,54.26
Queens East,QE07,2019,1,48.86,68.98,56.18
Queens East,QE08,2019,1,28.82,56.70,36.74
Queens East,QE10,2019,1,34.74,87.65,51.65
Queens East,QE11,2019,1,52.41,87.70,63.68
Queens East,QE12,2019,1,32.41,73.51,49.62
Queens East,QE13,2019,1,30.91,93.82,51.02
Queens East,QE14,2019,1,30.26,43.59,35.11
Queens West,QW01,2019,1,48.75,81.03,60.50
Queens West,QW02,2019,1,50.59,79.94,61.27
Queens West,QW03,2019,1,30.38,67.33,43.83
Queens West,QW04,2019,1,33.60,66.97,45.75
Queens West,QW05,2019,1,47.66,92.73,64.07
Queens West,QW06,2019,1,31.34,74.96,42.56
Queens West,QW09,2019,1,41.59,81.23,56.02
Staten Island,SI01,2019,1,39.66,79.80,52.49
Staten Island,SI02,2019,1,44.17,76.83,54.61
Staten Island,SI03,2019,1,46.39,82.40,57.90
Brooklyn North,BKN01,2019,7,49.84,47.21,48.64
Brooklyn North,BKN02,2019,7,31.91,56.45,39.15
Brooklyn North,BKN03,2019,7,34.11,42.02,37.72
Brooklyn North,BKN04,2019,7,36.15,60.50,47.26
Brooklyn North,BKN05,2019,7,24.23,38.17,30.59
Brooklyn North,BKN08,2019,7,44.72,51.14,47.65
Brooklyn North,BKN09,2019,7,32.24,44.06,36.95
Brooklyn North,BKN16,2019,7,21.40,31.45,25.98
Brooklyn North,BKN17,2019,7,27.39,55.67,38.64
Brooklyn South,BKS06,2019,7,43.15,77.26,53.21
Brooklyn South,BKS07,2019,7,45.53,64.11,52.93
Brooklyn South,BKS10,2019,7,55.21,72.45,62.07
Brooklyn South,BKS11,2019,7,45.66,57.05,50.19
Brooklyn South,BKS12,2019,7,47.94,40.38,44.49
Brooklyn South,BKS13,2019,7,38.41,50.70,43.68
Brooklyn South,BKS14,2019,7,33.23,51.43,39.14
Brooklyn South,BKS15,2019,7,46.90,56.72,50.81
Brooklyn South,BKS18,2019,7,31.69,61.56,42.28
Bronx,BX01,2019,7,17.87,26.77,21.69
Bronx,BX02,2019,7,30.40,58.60,42.49
Bronx,BX03,2019,7,23.20,36.86,29.06
Bronx,BX04,2019,7,27.19,48.92,36.51
Bronx,BX05,2019,7,25.44,50.01,35.98
Bronx,BX06,2019,7,31.75,44.15,37.07
Bronx,BX07,2019,7,32.89,64.31,46.37
Bronx,BX08,2019,7,39.79,82.30,53.60
